seed,method,attack,accepted,commit_delta,audit_delta,operational_harm,declared_harm,harmful_escape,declared_harmful_escape,beneficial,false_rejection,before_balanced_accuracy,candidate_balanced_accuracy,installed_balanced_accuracy,receipt_decision,receipt_delta,receipt_hash,append_succeeded,append_attempts,append_successes,installed_candidate,installed_model_version,serving_bytes_verified,risk_consumed,probe_consumed,competing_fixation_blocked,witness_faults_injected,witness_signatures,witness_threshold,witness_quorum_met,event_chain_valid,protocol_event_count,catalog_leaves,certificate_issue_ms,protocol_e2e_ms
1,Krum,sign_flip,1,-0.008078235620026316,-0.0038257041028,0,0,0,0,1,0,0.5016005432146667,0.5041364688275155,0.5041364688275155,commit,-0.008078235620026316,fe817dc292b3b0d835ae3f417d99de3399d7abf63e6147e6ff1e9bafc06b6edd,1,1,1,1,1,1,1,1,1,1,3,3,1,1,9,1,2236.687909,4262.102845
1,FLTrust,sign_flip,0,0.00038540005936842103,0.000184973416275,0,0,0,0,0,0,0.5016005432146667,0.5016005432146667,0.5016005432146667,reject,0.00038540005936842103,8168a03d338d64d2621860d4ea1a5a4431a7c09ad589ca9189aa2bdbfca0425f,1,1,1,0,0,1,1,1,1,1,3,3,1,1,9,1,2197.725885,4265.404196
1,FedVal,sign_flip,1,-0.008388719838710526,0.0032332152837,0,0,0,0,0,0,0.5016005432146667,0.48393913778529163,0.48393913778529163,commit,-0.008388719838710526,ceb1cb7ab2a4d7b77e3d6c6af06a79002fb0786e1525573ae3e36703d6c9fec5,1,1,1,1,1,1,1,1,1,1,3,3,1,1,9,1,2245.97817,4383.285951
1,FLShield,sign_flip,1,-0.002589971895973684,-0.000904549978525,0,0,0,0,1,0,0.5016005432146667,0.5041364688275155,0.5041364688275155,commit,-0.002589971895973684,e2ce8a4204143a1e71b9df7119ebf83332fce18f3f16595ddc15dbaebbc0c4aa,1,1,1,1,1,1,1,1,1,1,3,3,1,1,9,1,2190.494641,4379.314352
1,FedAvg,model_replacement,0,0.3970705334767105,0.432163354839525,1,1,0,0,0,0,0.5016005432146667,0.4908817538073528,0.5016005432146667,reject,0.3970705334767105,f77897a8d512e20f14d1e4cd1cd29447983da56eb6cc8e05c711f06a0a9bc39c,1,1,1,0,0,1,1,1,1,1,3,3,1,1,9,1,2265.529951,4327.500038
1,CoordinateMedian,model_replacement,1,-0.0010526470462631579,-0.0016480221636,0,0,0,0,1,0,0.5016005432146667,0.5054044316339398,0.5054044316339398,commit,-0.0010526470462631579,bbec5f05235d07d0a48bcaec7f7b9d242c60204a4941e159ff224f5efaeca298,1,1,1,1,1,1,1,1,1,1,3,3,1,1,9,1,2286.471111,4341.807996
1,Krum,model_replacement,1,-0.0012221540488421053,-0.00642551916365,0,0,0,0,1,0,0.5016005432146667,0.5206962016545875,0.5206962016545875,commit,-0.0012221540488421053,7bda5b72ba1754bf6cb617da8fa9e411320ba23c40e0e650fbde3993d2c50c50,1,1,1,1,1,1,1,1,1,1,3,3,1,1,9,1,2275.237937,4302.3815
1,FLTrust,model_replacement,0,0.0005206483531578947,0.00038650489,0,0,0,0,0,0,0.5016005432146667,0.5016005432146667,0.5016005432146667,reject,0.0005206483531578947,b47051456954d1407d4a750b85d8d854439b7b1fbb93a6c5e9c608860233b0a7,1,1,1,0,0,1,1,1,1,1,3,3,1,1,9,1,2241.803508,4255.897139
1,FedVal,model_replacement,0,0.020009576016763158,0.02486657123545,0,0,0,0,0,0,0.5016005432146667,0.5054044316339398,0.5016005432146667,reject,0.020009576016763158,a905495c9433366df74230c989b7d1e915c3293d29c8ca93f624edb00fb10fbb,1,1,1,0,0,1,1,1,1,1,3,3,1,1,9,1,2290.261769,4326.877996
1,FLShield,model_replacement,1,-0.001687592531368421,-0.0022965838296,0,0,0,0,1,0,0.5016005432146667,0.5184166401064257,0.5184166401064257,commit,-0.001687592531368421,29de0b053005130577dc8b49efcba4f4838ddb301e4e76b64099e5ada4e5d4a0,1,1,1,1,1,1,1,1,1,1,3,3,1,1,9,1,2186.064682,4241.104804
