split,method,attack,seeds,accepted_mean,accepted_lower95,accepted_upper95,operational_harm_mean,operational_harm_lower95,operational_harm_upper95,declared_harm_mean,declared_harm_lower95,declared_harm_upper95,harmful_escape_mean,harmful_escape_lower95,harmful_escape_upper95,population_harm_mean,population_harm_lower95,population_harm_upper95,population_escape_mean,population_escape_lower95,population_escape_upper95,score_gate_accepted_mean,score_gate_accepted_lower95,score_gate_accepted_upper95,score_gate_escape_mean,score_gate_escape_lower95,score_gate_escape_upper95,score_gate_population_escape_mean,score_gate_population_escape_lower95,score_gate_population_escape_upper95,declared_harmful_escape_mean,declared_harmful_escape_lower95,declared_harmful_escape_upper95,false_rejection_mean,false_rejection_lower95,false_rejection_upper95,candidate_balanced_accuracy_mean,candidate_balanced_accuracy_lower95,candidate_balanced_accuracy_upper95,installed_balanced_accuracy_mean,installed_balanced_accuracy_lower95,installed_balanced_accuracy_upper95,paired_accuracy_gain_mean,paired_accuracy_gain_lower95,paired_accuracy_gain_upper95,paired_audit_risk_reduction_mean,paired_audit_risk_reduction_lower95,paired_audit_risk_reduction_upper95,append_succeeded_mean,append_succeeded_lower95,append_succeeded_upper95,serving_bytes_verified_mean,serving_bytes_verified_lower95,serving_bytes_verified_upper95,risk_consumed_mean,risk_consumed_lower95,risk_consumed_upper95,probe_consumed_mean,probe_consumed_lower95,probe_consumed_upper95,competing_fixation_blocked_mean,competing_fixation_blocked_lower95,competing_fixation_blocked_upper95,eligible_subset_blocked_mean,eligible_subset_blocked_lower95,eligible_subset_blocked_upper95,witness_quorum_met_mean,witness_quorum_met_lower95,witness_quorum_met_upper95,event_chain_valid_mean,event_chain_valid_lower95,event_chain_valid_upper95,certificate_issue_ms_mean,certificate_issue_ms_lower95,certificate_issue_ms_upper95,protocol_e2e_ms_mean,protocol_e2e_ms_lower95,protocol_e2e_ms_upper95,certificate_issue_ms_p50,certificate_issue_ms_p95,protocol_e2e_ms_p50,protocol_e2e_ms_p95,beneficial_cases,conditional_false_rejection_rate
random,FedAvg,none,20,0.7,0.4810232237710206,0.854524726031006,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.8,0.5839782779742401,0.9193436467288,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.15,0.05236779195949584,0.36042329588695743,0.5414644826152063,0.5163875096364776,0.566541455593935,0.5391061910908737,0.5142298357287312,0.5639825464530162,-0.002358291524332598,-0.007255551427440677,0.002538968378775482,0.00036253637141,-0.00041382911880593037,0.0011389018616259302,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,2110.4877087500004,2042.132375114454,2178.843042385547,5157.36200075,5036.022329089455,5278.701672410546,2075.3751615,2296.1493954000002,5133.3668290000005,5643.8403454,15,0.2
random,FedVal,none,20,0.95,0.7638641064874331,0.9911187805671268,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.9,0.6989617935882066,0.9721341060158468,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.5308551718899862,0.5155876333157546,0.5461227104642178,0.5310787188348446,0.5159795411238238,0.5461778965458653,0.00022354694485841875,-0.00024434218801972933,0.0006914360777365669,3.41895466475e-05,-3.7369996895030874e-05,0.00010574909019003088,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,2115.2187006999998,2046.5792029081833,2183.858198491816,4340.9435773,4215.042420009355,4466.844734590644,2097.9437655,2344.6769609499997,4337.7542565,4707.031601950001,15,0.0
random,FoundationFL,none,20,0.5,0.2992949144298199,0.7007050855701801,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.8,0.5839782779742401,0.9193436467288,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.25,0.11186005278940309,0.4687050099580636,0.5143832054451194,0.5017579387267993,0.5270084721634395,0.5321553191672219,0.5090956573409603,0.5552149809934835,0.017772113722102512,-0.007213067101080137,0.042757294545285165,0.00028297932825250004,-0.0012537489149318296,0.0018197075714368298,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,2076.6907397999994,2012.4397236084533,2140.9417559915455,4288.162574499999,4174.612292701165,4401.712856298834,2088.6448965,2271.6025141500004,4264.8570039999995,4646.8733523,13,0.38461538461538464
random,Krum,none,20,0.5,0.2992949144298199,0.7007050855701801,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.55,0.3420820083075997,0.7418049791429071,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.05,0.008881219432873136,0.23613589351256675,0.5607975826758179,0.5365405030707653,0.5850546622808706,0.5508706676652573,0.5265657152457173,0.5751756200847973,-0.009926915010560654,-0.019554144045262963,-0.0002996859758583447,0.0013029409965524999,-6.381997068588899e-06,0.0026122639901735886,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,2098.1115870000003,2028.1574044426266,2168.065769557374,4346.079310900001,4226.133185505185,4466.025436294816,2077.733598,2284.16554455,4291.0573695,4736.2338992,9,0.1111111111111111
random,FLTrust,score_aware,20,0.2,0.0806563532712,0.41602172202575993,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.25,0.11186005278940309,0.4687050099580636,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.2,0.0806563532712,0.41602172202575993,0.5373999914008862,0.5005036660430131,0.5742963167587594,0.5281327886455757,0.5047766501314324,0.551488927159719,-0.009267202755310715,-0.030768021193601156,0.012233615682979725,0.005521419853582501,0.001117439260880559,0.009925400446284444,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,2096.8512007,2039.4034164765674,2154.2989849234323,4328.5104034999995,4206.051858708354,4450.968948291645,2104.7482795,2272.5702223499998,4302.126464499999,4769.9925923,6,0.6666666666666666
random,FedAvg,score_aware,20,0.5,0.2992949144298199,0.7007050855701801,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.55,0.3420820083075997,0.7418049791429071,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.05,0.008881219432873136,0.23613589351256675,0.539513427269039,0.5175082436409505,0.5615186108971274,0.5420591595272798,0.5193777067511411,0.5647406123034184,0.0025457322582409956,-0.004017120052437295,0.009108584568919286,0.0010601016525949999,-0.0011495595024990583,0.003269762807689058,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,2081.705233,2016.5277455485923,2146.8827204514077,4302.65451485,4193.668203264938,4411.640826435062,2068.4315045000003,2320.1815065500004,4319.690909499999,4665.503128699999,6,0.16666666666666666
random,FoundationFL,score_aware,20,0.65,0.43285051021946463,0.8188104521320554,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.7,0.4810232237710206,0.854524726031006,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.15,0.05236779195949584,0.36042329588695743,0.5140909201126797,0.49733998276600627,0.530841857459353,0.5226082211820243,0.5040972900364086,0.5411191523276401,0.00851730106934467,-0.0033311415407147413,0.02036574367940408,0.0017582662615824997,-0.00138211865901873,0.0048986511821837294,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,2130.3507291,2055.571229221285,2205.130228978715,4359.7605951,4239.6891667720165,4479.832023427983,2107.097765,2388.8215043,4360.8594615,4726.3922809,14,0.21428571428571427
random,CoordinateMedian,sign_flip,20,0.85,0.6395767041130426,0.9476322080405041,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.85,0.6395767041130426,0.9476322080405041,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.1,0.027865893984153206,0.30103820641179335,0.5313553471612953,0.5081943501465477,0.5545163441760429,0.5294539977024157,0.5069364147691329,0.5519715806356986,-0.0019013494588795588,-0.004530035274709673,0.000727336356950556,5.340702758749999e-05,-0.00013729928782718303,0.000244113343002183,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,2090.7311825,2023.2935308871931,2158.1688341128074,4315.932453650001,4212.245204694814,4419.619702605188,2101.017566,2265.44185765,4310.527647999999,4669.8121313,18,0.1111111111111111
random,FLShield,sign_flip,20,0.75,0.5312949900419365,0.888139947210597,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.8,0.5839782779742401,0.9193436467288,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.1,0.027865893984153206,0.30103820641179335,0.5351319862248933,0.5117439234968677,0.558520048952919,0.5324961611335217,0.5090964042272698,0.5558959180397737,-0.002635825091371574,-0.006152425599880138,0.0008807754171369906,0.00021812064003500002,-0.00022211840357099042,0.0006583596836409905,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,2078.8749718,2008.412585856811,2149.337357743189,4306.578356399999,4187.533486833381,4425.623225966618,2062.6330025,2303.46850125,4291.293804,4686.07165575,14,0.14285714285714285
random,FLTrust,sign_flip,20,0.2,0.0806563532712,0.41602172202575993,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.15,0.05236779195949584,0.36042329588695743,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.0,0.0,0.16113012549493322,0.1,0.027865893984153206,0.30103820641179335,0.5378895213429116,0.4984863646669516,0.5772926780188715,0.5343947345578818,0.5113413810244175,0.557448088091346,-0.003494786785029691,-0.03260937889901032,0.02561980532895094,0.010169943922584999,0.00430946224149179,0.016030425603678206,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,1.0,0.8388698745050667,1.0,2035.2641680499996,1983.1045694002737,2087.4237666997255,4236.872194149999,4138.39510588323,4335.349282416768,2014.5760925,2197.47802675,4226.956982,4544.33447225,5,0.4
